Table;Column;Data Type;Is Nullable;Is Unique;Is Primary Key;Is Foreign Key;Referenced Table.Column;Example 1;Example 2;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;background_image;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;link_facebook;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;link_twitter;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;link_linkedin;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_authors;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;id;int;YES;NO;NO;YES;blog_banners_positions.id;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;img;varchar;YES;NO;NO;YES;blog_categories.id;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;link;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;description;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;banner_position_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;created_at;timestamp;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners;blog_category_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners_positions;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners_positions;description;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners_positions;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_banners_positions;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories;name;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories;slug;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories;primary;tinyint;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories_have_news;id;int;NO;NO;NO;YES;blog_categories.id;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories_have_news;blog_new_id;int;NO;NO;NO;YES;blog_news.id;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_categories_have_news;blog_category_id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_featured_news_modules;id;int;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_featured_news_modules;description;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_featured_news_modules;name;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_featured_news_modules;img_position;varchar;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;id;int;NO;NO;NO;YES;blog_authors.id;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;slug;varchar;YES;NO;NO;YES;blog_featured_news_modules.id;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;preview_token;varchar;NO;NO;YES;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;meta_title;varchar;YES;YES;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;meta_description;text;NO;YES;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;title;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;featured_img;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;featured_module_id;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;featured_title_color;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;post_img;varchar;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;abbreviated_content;text;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;content;text;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;published;int;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;publish_at;date;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;blog_author_id;int;NO;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;created_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;updated_at;timestamp;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
blog_news;featured;tinyint;YES;NO;NO;NO;;;;;;;;;;;;;;;;;;;;;;;;;;;
